group	accession	genotype	sequence_length	protein	start	end	strand	source
GII	MG746034	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746034	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746034	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746034	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746034	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746034	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG746035	GII.2	7536	VP1	5085	6713	+	genbank
GII	MG746035	GII.2	7536	VP2	6713	7492	+	genbank
GII	MG746035	GII.2	7536	ORF1	5	5104	+	genbank
GII	MG746035	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MG746035	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MG746035	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746035	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746035	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746035	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746035	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746035	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG746036	GII.2	7536	VP1	5085	6713	+	genbank
GII	MG746036	GII.2	7536	VP2	6713	7492	+	genbank
GII	MG746036	GII.2	7536	ORF1	5	5104	+	genbank
GII	MG746036	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MG746036	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MG746036	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746036	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746036	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746036	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746036	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746036	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG746037	GII.2	7536	VP1	5085	6713	+	genbank
GII	MG746037	GII.2	7536	VP2	6713	7492	+	genbank
GII	MG746037	GII.2	7536	ORF1	5	5104	+	genbank
GII	MG746037	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MG746037	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MG746037	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746037	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746037	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746037	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746037	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746037	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG746038	GII.2	7536	VP1	5085	6713	+	genbank
GII	MG746038	GII.2	7536	VP2	6713	7492	+	genbank
GII	MG746038	GII.2	7536	ORF1	5	5104	+	genbank
GII	MG746038	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MG746038	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MG746038	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746038	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746038	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746038	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746038	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746038	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG746039	GII.2	7536	VP1	5085	6713	+	genbank
GII	MG746039	GII.2	7536	VP2	6713	7492	+	genbank
GII	MG746039	GII.2	7536	ORF1	5	5104	+	genbank
GII	MG746039	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MG746039	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MG746039	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746039	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746039	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746039	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746039	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746039	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG746040	GII.2	7536	VP1	5085	6713	+	genbank
GII	MG746040	GII.2	7536	VP2	6713	7492	+	genbank
GII	MG746040	GII.2	7536	ORF1	5	5104	+	genbank
GII	MG746040	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MG746040	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MG746040	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746040	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746040	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746040	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746040	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746040	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG746041	GII.2	7536	VP1	5085	6713	+	genbank
GII	MG746041	GII.2	7536	VP2	6713	7492	+	genbank
GII	MG746041	GII.2	7536	ORF1	5	5104	+	genbank
GII	MG746041	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MG746041	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MG746041	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746041	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746041	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746041	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746041	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746041	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG746042	GII.2	7536	VP1	5085	6713	+	genbank
GII	MG746042	GII.2	7536	VP2	6713	7492	+	genbank
GII	MG746042	GII.2	7536	ORF1	5	5104	+	genbank
GII	MG746042	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MG746042	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MG746042	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746042	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746042	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746042	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746042	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746042	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG746043	GII.2	7536	VP1	5085	6713	+	genbank
GII	MG746043	GII.2	7536	VP2	6713	7492	+	genbank
GII	MG746043	GII.2	7536	ORF1	5	5104	+	genbank
GII	MG746043	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MG746043	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MG746043	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746043	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746043	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746043	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746043	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746043	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG746044	GII.2	7536	VP1	5085	6713	+	genbank
GII	MG746044	GII.2	7536	VP2	6713	7492	+	genbank
GII	MG746044	GII.2	7536	ORF1	5	5104	+	genbank
GII	MG746044	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MG746044	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MG746044	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746044	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746044	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746044	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746044	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746044	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG746045	GII.2	7536	VP1	5085	6713	+	genbank
GII	MG746045	GII.2	7536	VP2	6713	7492	+	genbank
GII	MG746045	GII.2	7536	ORF1	5	5104	+	genbank
GII	MG746045	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MG746045	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MG746045	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MG746045	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MG746045	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MG746045	GII.2	7536	5'UTR	1	4	+	genbank
GII	MG746045	GII.2	7536	3'UTR	7493	7536	+	genbank
GII	MG746045	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MG892974	GII.2	7553	VP1	5081	6709	+	genbank
GII	MG892974	GII.2	7553	VP2	6709	7488	+	genbank
GII	MG892974	GII.2	7553	ORF1	1	5100	+	genbank
GII	MG892974	GII.2	7553	p48	1	1326	+	orf1_relative
GII	MG892974	GII.2	7553	NTPase	1327	2091	+	orf1_relative
GII	MG892974	GII.2	7553	p22	2092	2499	+	orf1_relative
GII	MG892974	GII.2	7553	VPg	2500	2907	+	orf1_relative
GII	MG892974	GII.2	7553	3CLpro	2908	3468	+	orf1_relative
GII	MG892974	GII.2	7553	3'UTR	7489	7532	+	genbank
GII	MG892974	GII.2	7553	RdRp	4319	5075	+	inferred_from_region_blast
GII	MH041321	GII.2	7532	VP1	5081	6709	+	genbank
GII	MH041321	GII.2	7532	VP2	6709	7488	+	genbank
GII	MH041321	GII.2	7532	ORF1	1	5100	+	genbank
GII	MH041321	GII.2	7532	p48	1	1326	+	orf1_relative
GII	MH041321	GII.2	7532	NTPase	1327	2091	+	orf1_relative
GII	MH041321	GII.2	7532	p22	2092	2499	+	orf1_relative
GII	MH041321	GII.2	7532	VPg	2500	2907	+	orf1_relative
GII	MH041321	GII.2	7532	3CLpro	2908	3468	+	orf1_relative
GII	MH041321	GII.2	7532	RdRp	4319	5075	+	inferred_from_region_blast
GII	MH041322	GII.2	7532	VP1	5081	6709	+	genbank
GII	MH041322	GII.2	7532	VP2	6709	7488	+	genbank
GII	MH041322	GII.2	7532	ORF1	1	5100	+	genbank
GII	MH041322	GII.2	7532	p48	1	1326	+	orf1_relative
GII	MH041322	GII.2	7532	NTPase	1327	2091	+	orf1_relative
GII	MH041322	GII.2	7532	p22	2092	2499	+	orf1_relative
GII	MH041322	GII.2	7532	VPg	2500	2907	+	orf1_relative
GII	MH041322	GII.2	7532	3CLpro	2908	3468	+	orf1_relative
GII	MH041322	GII.2	7532	RdRp	4319	5075	+	inferred_from_region_blast
GII	MH218648	GII.2	7543	VP1	5085	6713	+	genbank
GII	MH218648	GII.2	7543	VP2	6713	7492	+	genbank
GII	MH218648	GII.2	7543	ORF1	5	5104	+	genbank
GII	MH218648	GII.2	7543	p48	5	1330	+	orf1_relative
GII	MH218648	GII.2	7543	NTPase	1331	2095	+	orf1_relative
GII	MH218648	GII.2	7543	p22	2096	2503	+	orf1_relative
GII	MH218648	GII.2	7543	VPg	2504	2911	+	orf1_relative
GII	MH218648	GII.2	7543	3CLpro	2912	3472	+	orf1_relative
GII	MH218648	GII.2	7543	RdRp	4323	5079	+	inferred_from_region_blast
GII	MH218655	GII.2	7537	VP1	5085	6713	+	genbank
GII	MH218655	GII.2	7537	VP2	6713	7492	+	genbank
GII	MH218655	GII.2	7537	ORF1	5	5104	+	genbank
GII	MH218655	GII.2	7537	p48	5	1330	+	orf1_relative
GII	MH218655	GII.2	7537	NTPase	1331	2095	+	orf1_relative
GII	MH218655	GII.2	7537	p22	2096	2503	+	orf1_relative
GII	MH218655	GII.2	7537	VPg	2504	2911	+	orf1_relative
GII	MH218655	GII.2	7537	3CLpro	2912	3472	+	orf1_relative
GII	MH218655	GII.2	7537	RdRp	4323	5079	+	inferred_from_region_blast
GII	MH218657	GII.2	7497	VP1	5085	6713	+	genbank
GII	MH218657	GII.2	7497	VP2	6713	7492	+	genbank
GII	MH218657	GII.2	7497	ORF1	5	5104	+	genbank
GII	MH218657	GII.2	7497	p48	5	1330	+	orf1_relative
GII	MH218657	GII.2	7497	NTPase	1331	2095	+	orf1_relative
GII	MH218657	GII.2	7497	p22	2096	2503	+	orf1_relative
GII	MH218657	GII.2	7497	VPg	2504	2911	+	orf1_relative
GII	MH218657	GII.2	7497	3CLpro	2912	3472	+	orf1_relative
GII	MH218657	GII.2	7497	RdRp	4323	5079	+	inferred_from_region_blast
GII	MH218697	GII.2	7545	VP1	5085	6713	+	genbank
GII	MH218697	GII.2	7545	VP2	6713	7492	+	genbank
GII	MH218697	GII.2	7545	ORF1	5	5104	+	genbank
GII	MH218697	GII.2	7545	p48	5	1330	+	orf1_relative
GII	MH218697	GII.2	7545	NTPase	1331	2095	+	orf1_relative
GII	MH218697	GII.2	7545	p22	2096	2503	+	orf1_relative
GII	MH218697	GII.2	7545	VPg	2504	2911	+	orf1_relative
GII	MH218697	GII.2	7545	3CLpro	2912	3472	+	orf1_relative
GII	MH218697	GII.2	7545	RdRp	4323	5079	+	inferred_from_region_blast
GII	MH218733	GII.2	7550	VP1	5085	6713	+	genbank
GII	MH218733	GII.2	7550	VP2	6713	7492	+	genbank
GII	MH218733	GII.2	7550	ORF1	5	5104	+	genbank
GII	MH218733	GII.2	7550	p48	5	1330	+	orf1_relative
GII	MH218733	GII.2	7550	NTPase	1331	2095	+	orf1_relative
GII	MH218733	GII.2	7550	p22	2096	2503	+	orf1_relative
GII	MH218733	GII.2	7550	VPg	2504	2911	+	orf1_relative
GII	MH218733	GII.2	7550	3CLpro	2912	3472	+	orf1_relative
GII	MH218733	GII.2	7550	RdRp	4323	5079	+	inferred_from_region_blast
GII	MH218734	GII.2	7536	VP1	5085	6713	+	genbank
GII	MH218734	GII.2	7536	VP2	6713	7492	+	genbank
GII	MH218734	GII.2	7536	ORF1	5	5104	+	genbank
GII	MH218734	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MH218734	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MH218734	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MH218734	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MH218734	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MH218734	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MH218735	GII.2	7537	VP1	5085	6713	+	genbank
GII	MH218735	GII.2	7537	VP2	6713	7492	+	genbank
GII	MH218735	GII.2	7537	ORF1	5	5104	+	genbank
GII	MH218735	GII.2	7537	p48	5	1330	+	orf1_relative
GII	MH218735	GII.2	7537	NTPase	1331	2095	+	orf1_relative
GII	MH218735	GII.2	7537	p22	2096	2503	+	orf1_relative
GII	MH218735	GII.2	7537	VPg	2504	2911	+	orf1_relative
GII	MH218735	GII.2	7537	3CLpro	2912	3472	+	orf1_relative
GII	MH218735	GII.2	7537	RdRp	4323	5079	+	inferred_from_region_blast
GII	MH218736	GII.2	7537	VP1	5085	6713	+	genbank
GII	MH218736	GII.2	7537	VP2	6713	7492	+	genbank
GII	MH218736	GII.2	7537	ORF1	5	5104	+	genbank
GII	MH218736	GII.2	7537	p48	5	1330	+	orf1_relative
GII	MH218736	GII.2	7537	NTPase	1331	2095	+	orf1_relative
GII	MH218736	GII.2	7537	p22	2096	2503	+	orf1_relative
GII	MH218736	GII.2	7537	VPg	2504	2911	+	orf1_relative
GII	MH218736	GII.2	7537	3CLpro	2912	3472	+	orf1_relative
GII	MH218736	GII.2	7537	RdRp	4323	5079	+	inferred_from_region_blast
GII	MH218737	GII.2	7537	VP1	5085	6713	+	genbank
GII	MH218737	GII.2	7537	VP2	6713	7492	+	genbank
GII	MH218737	GII.2	7537	ORF1	5	5104	+	genbank
GII	MH218737	GII.2	7537	p48	5	1330	+	orf1_relative
GII	MH218737	GII.2	7537	NTPase	1331	2095	+	orf1_relative
GII	MH218737	GII.2	7537	p22	2096	2503	+	orf1_relative
GII	MH218737	GII.2	7537	VPg	2504	2911	+	orf1_relative
GII	MH218737	GII.2	7537	3CLpro	2912	3472	+	orf1_relative
GII	MH218737	GII.2	7537	RdRp	4323	5079	+	inferred_from_region_blast
GII	MH260478	GII.2	7345	VP1	4993	6621	+	genbank
GII	MH260478	GII.2	7345	VP2	6621	7345	+	genbank
GII	MH260478	GII.2	7345	ORF1	1	5012	+	genbank
GII	MH260478	GII.2	7345	p48	1	1303	+	orf1_relative
GII	MH260478	GII.2	7345	NTPase	1304	2055	+	orf1_relative
GII	MH260478	GII.2	7345	p22	2056	2456	+	orf1_relative
GII	MH260478	GII.2	7345	VPg	2457	2857	+	orf1_relative
GII	MH260478	GII.2	7345	3CLpro	2858	3408	+	orf1_relative
GII	MH260478	GII.2	7345	RdRp	4231	4987	+	inferred_from_region_blast
GII	MH260493	GII.2	7513	VP1	5080	6708	+	genbank
GII	MH260493	GII.2	7513	VP2	6708	7487	+	genbank
GII	MH260493	GII.2	7513	ORF1	1	5099	+	genbank
GII	MH260493	GII.2	7513	p48	1	1326	+	orf1_relative
GII	MH260493	GII.2	7513	NTPase	1327	2091	+	orf1_relative
GII	MH260493	GII.2	7513	p22	2092	2499	+	orf1_relative
GII	MH260493	GII.2	7513	VPg	2500	2906	+	orf1_relative
GII	MH260493	GII.2	7513	3CLpro	2907	3467	+	orf1_relative
GII	MH260493	GII.2	7513	RdRp	4318	5074	+	inferred_from_region_blast
GII	MH260500	GII.2	7519	VP1	5080	6708	+	genbank
GII	MH260500	GII.2	7519	VP2	6708	7487	+	genbank
GII	MH260500	GII.2	7519	ORF1	1	5099	+	genbank
GII	MH260500	GII.2	7519	p48	1	1326	+	orf1_relative
GII	MH260500	GII.2	7519	NTPase	1327	2091	+	orf1_relative
GII	MH260500	GII.2	7519	p22	2092	2499	+	orf1_relative
GII	MH260500	GII.2	7519	VPg	2500	2906	+	orf1_relative
GII	MH260500	GII.2	7519	3CLpro	2907	3467	+	orf1_relative
GII	MH260500	GII.2	7519	RdRp	4318	5074	+	inferred_from_region_blast
GII	MH260501	GII.2	7490	VP1	5080	6708	+	genbank
GII	MH260501	GII.2	7490	VP2	6708	7487	+	genbank
GII	MH260501	GII.2	7490	ORF1	1	5099	+	genbank
GII	MH260501	GII.2	7490	p48	1	1326	+	orf1_relative
GII	MH260501	GII.2	7490	NTPase	1327	2091	+	orf1_relative
GII	MH260501	GII.2	7490	p22	2092	2499	+	orf1_relative
GII	MH260501	GII.2	7490	VPg	2500	2906	+	orf1_relative
GII	MH260501	GII.2	7490	3CLpro	2907	3467	+	orf1_relative
GII	MH260501	GII.2	7490	RdRp	4318	5074	+	inferred_from_region_blast
GII	MH260509	GII.2	7457	VP1	5009	6637	+	genbank
GII	MH260509	GII.2	7457	VP2	6637	7416	+	genbank
GII	MH260509	GII.2	7457	ORF1	1	5028	+	genbank
GII	MH260509	GII.2	7457	p48	1	1307	+	orf1_relative
GII	MH260509	GII.2	7457	NTPase	1308	2061	+	orf1_relative
GII	MH260509	GII.2	7457	p22	2062	2464	+	orf1_relative
GII	MH260509	GII.2	7457	VPg	2465	2866	+	orf1_relative
GII	MH260509	GII.2	7457	3CLpro	2867	3419	+	orf1_relative
GII	MH260509	GII.2	7457	RdRp	4247	5003	+	inferred_from_region_blast
GII	MH321825	GII.2	7536	VP1	5085	6713	+	genbank
GII	MH321825	GII.2	7536	VP2	6713	7492	+	genbank
GII	MH321825	GII.2	7536	ORF1	5	5104	+	genbank
GII	MH321825	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MH321825	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MH321825	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MH321825	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MH321825	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MH321825	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MH671553	GII.2	7536	VP1	5085	6713	+	genbank
GII	MH671553	GII.2	7536	VP2	6713	7492	+	genbank
GII	MH671553	GII.2	7536	ORF1	5	5104	+	genbank
GII	MH671553	GII.2	7536	p48	5	1330	+	orf1_relative
GII	MH671553	GII.2	7536	NTPase	1331	2095	+	orf1_relative
GII	MH671553	GII.2	7536	p22	2096	2503	+	orf1_relative
GII	MH671553	GII.2	7536	VPg	2504	2911	+	orf1_relative
GII	MH671553	GII.2	7536	3CLpro	2912	3472	+	orf1_relative
GII	MH671553	GII.2	7536	RdRp	4323	5079	+	inferred_from_region_blast
GII	MH702261	GII.2	6753	VP1	4607	6235	+	genbank
GII	MH702261	GII.2	6753	VP2	6235	6753	+	genbank
GII	MH702261	GII.2	6753	ORF1	1	4626	+	genbank
GII	MH702261	GII.2	6753	p48	1	1203	+	orf1_relative
GII	MH702261	GII.2	6753	NTPase	1204	1897	+	orf1_relative
GII	MH702261	GII.2	6753	p22	1898	2267	+	orf1_relative
GII	MH702261	GII.2	6753	VPg	2268	2637	+	orf1_relative
GII	MH702261	GII.2	6753	3CLpro	2638	3146	+	orf1_relative
GII	MH702261	GII.2	6753	RdRp	3845	4601	+	inferred_from_region_blast
GII	MH702265	GII.2	7220	VP1	4876	6504	+	genbank
GII	MH702265	GII.2	7220	VP2	6504	7220	+	genbank
GII	MH702265	GII.2	7220	ORF1	1	4895	+	genbank
GII	MH702265	GII.2	7220	p48	1	1273	+	orf1_relative
GII	MH702265	GII.2	7220	NTPase	1274	2007	+	orf1_relative
GII	MH702265	GII.2	7220	p22	2008	2399	+	orf1_relative
GII	MH702265	GII.2	7220	VPg	2400	2790	+	orf1_relative
GII	MH702265	GII.2	7220	3CLpro	2791	3329	+	orf1_relative
GII	MH702265	GII.2	7220	RdRp	4114	4870	+	inferred_from_region_blast
GII	MH979229	GII.2	7546	VP1	5085	6713	+	genbank
GII	MH979229	GII.2	7546	VP2	6713	7492	+	genbank
GII	MH979229	GII.2	7546	ORF1	5	5104	+	genbank
GII	MH979229	GII.2	7546	p48	5	1330	+	orf1_relative
GII	MH979229	GII.2	7546	NTPase	1331	2095	+	orf1_relative
GII	MH979229	GII.2	7546	p22	2096	2503	+	orf1_relative
GII	MH979229	GII.2	7546	VPg	2504	2911	+	orf1_relative
GII	MH979229	GII.2	7546	3CLpro	2912	3472	+	orf1_relative
GII	MH979229	GII.2	7546	RdRp	4323	5079	+	inferred_from_region_blast
GII	MK340748	GII.2	7473	VP1	5075	6703	+	genbank
GII	MK340748	GII.2	7473	VP2	6703	7473	+	genbank
GII	MK340748	GII.2	7473	ORF1	1	5094	+	genbank
GII	MK340748	GII.2	7473	p48	1	1324	+	orf1_relative
GII	MK340748	GII.2	7473	NTPase	1325	2089	+	orf1_relative
GII	MK340748	GII.2	7473	p22	2090	2496	+	orf1_relative
GII	MK340748	GII.2	7473	VPg	2497	2904	+	orf1_relative
GII	MK340748	GII.2	7473	3CLpro	2905	3464	+	orf1_relative
GII	MK340748	GII.2	7473	RdRp	4313	5069	+	inferred_from_region_blast
GII	MK590972	GII.2	7367	VP1	4933	6561	+	genbank
GII	MK590972	GII.2	7367	VP2	6561	7340	+	genbank
GII	MK590972	GII.2	7367	ORF1	1	4952	+	genbank
GII	MK590972	GII.2	7367	p48	1	1288	+	orf1_relative
GII	MK590972	GII.2	7367	NTPase	1289	2030	+	orf1_relative
GII	MK590972	GII.2	7367	p22	2031	2426	+	orf1_relative
GII	MK590972	GII.2	7367	VPg	2427	2823	+	orf1_relative
GII	MK590972	GII.2	7367	3CLpro	2824	3367	+	orf1_relative
GII	MK590972	GII.2	7367	RdRp	4171	4927	+	inferred_from_region_blast
GII	MK590973	GII.2	7471	VP1	5038	6666	+	genbank
GII	MK590973	GII.2	7471	VP2	6666	7445	+	genbank
GII	MK590973	GII.2	7471	ORF1	1	5057	+	genbank
GII	MK590973	GII.2	7471	p48	1	1315	+	orf1_relative
GII	MK590973	GII.2	7471	NTPase	1316	2073	+	orf1_relative
GII	MK590973	GII.2	7471	p22	2074	2478	+	orf1_relative
GII	MK590973	GII.2	7471	VPg	2479	2882	+	orf1_relative
GII	MK590973	GII.2	7471	3CLpro	2883	3439	+	orf1_relative
GII	MK590973	GII.2	7471	RdRp	4276	5032	+	inferred_from_region_blast
GII	MK590974	GII.2	7496	VP1	5080	6708	+	genbank
GII	MK590974	GII.2	7496	VP2	6708	7487	+	genbank
GII	MK590974	GII.2	7496	ORF1	1	5099	+	genbank
GII	MK590974	GII.2	7496	p48	1	1326	+	orf1_relative
GII	MK590974	GII.2	7496	NTPase	1327	2091	+	orf1_relative
GII	MK590974	GII.2	7496	p22	2092	2499	+	orf1_relative
GII	MK590974	GII.2	7496	VPg	2500	2906	+	orf1_relative
GII	MK590974	GII.2	7496	3CLpro	2907	3467	+	orf1_relative
GII	MK590974	GII.2	7496	RdRp	4318	5074	+	inferred_from_region_blast
GII	MK614124	GII.2	7536	VP1	5081	6709	+	genbank
GII	MK614124	GII.2	7536	VP2	6709	7488	+	genbank
GII	MK614124	GII.2	7536	ORF1	1	5100	+	genbank
GII	MK614124	GII.2	7536	p48	1	1326	+	orf1_relative
GII	MK614124	GII.2	7536	NTPase	1327	2091	+	orf1_relative
GII	MK614124	GII.2	7536	p22	2092	2499	+	orf1_relative
GII	MK614124	GII.2	7536	VPg	2500	2907	+	orf1_relative
GII	MK614124	GII.2	7536	3CLpro	2908	3468	+	orf1_relative
GII	MK614124	GII.2	7536	RdRp	4319	5075	+	inferred_from_region_blast
GII	MK614125	GII.2	7536	VP1	5081	6709	+	genbank
GII	MK614125	GII.2	7536	VP2	6709	7488	+	genbank
GII	MK614125	GII.2	7536	ORF1	1	5100	+	genbank
GII	MK614125	GII.2	7536	p48	1	1326	+	orf1_relative
GII	MK614125	GII.2	7536	NTPase	1327	2091	+	orf1_relative
GII	MK614125	GII.2	7536	p22	2092	2499	+	orf1_relative
GII	MK614125	GII.2	7536	VPg	2500	2907	+	orf1_relative
GII	MK614125	GII.2	7536	3CLpro	2908	3468	+	orf1_relative
GII	MK614125	GII.2	7536	RdRp	4319	5075	+	inferred_from_region_blast
GII	MK614126	GII.2	7536	VP1	5081	6709	+	genbank
GII	MK614126	GII.2	7536	VP2	6709	7488	+	genbank
GII	MK614126	GII.2	7536	ORF1	1	5100	+	genbank
GII	MK614126	GII.2	7536	p48	1	1326	+	orf1_relative
GII	MK614126	GII.2	7536	NTPase	1327	2091	+	orf1_relative
GII	MK614126	GII.2	7536	p22	2092	2499	+	orf1_relative
GII	MK614126	GII.2	7536	VPg	2500	2907	+	orf1_relative
GII	MK614126	GII.2	7536	3CLpro	2908	3468	+	orf1_relative
GII	MK614126	GII.2	7536	RdRp	4319	5075	+	inferred_from_region_blast
GII	MK614127	GII.2	7536	VP1	5081	6709	+	genbank
GII	MK614127	GII.2	7536	VP2	6709	7488	+	genbank
GII	MK614127	GII.2	7536	ORF1	1	5100	+	genbank
GII	MK614127	GII.2	7536	p48	1	1326	+	orf1_relative
GII	MK614127	GII.2	7536	NTPase	1327	2091	+	orf1_relative
GII	MK614127	GII.2	7536	p22	2092	2499	+	orf1_relative
GII	MK614127	GII.2	7536	VPg	2500	2907	+	orf1_relative
GII	MK614127	GII.2	7536	3CLpro	2908	3468	+	orf1_relative
GII	MK614127	GII.2	7536	RdRp	4319	5075	+	inferred_from_region_blast
GII	MK614128	GII.2	7536	VP1	5081	6709	+	genbank
GII	MK614128	GII.2	7536	VP2	6709	7488	+	genbank
GII	MK614128	GII.2	7536	ORF1	1	5100	+	genbank
GII	MK614128	GII.2	7536	p48	1	1326	+	orf1_relative
GII	MK614128	GII.2	7536	NTPase	1327	2091	+	orf1_relative
GII	MK614128	GII.2	7536	p22	2092	2499	+	orf1_relative
GII	MK614128	GII.2	7536	VPg	2500	2907	+	orf1_relative
